l2_reg_wt,n_layers,n_epoch,valid_accuracy,isnan
,,,,
0.001291058,2,10,0.974666674,FALSE
,,,,
0.000377103,2,7,0.984466672,FALSE
,,,,
0.009992287,4,5,0.970466675,FALSE
,,,,
1.63E-05,5,11,0.983933338,FALSE
,,,,
0.000103222,3,6,0.983800005,FALSE
,,,,
0.001306619,3,6,0.980266672,FALSE
,,,,
0.002232548,4,12,0.986200004,FALSE
,,,,
0.00015795,5,10,0.986733338,FALSE
,,,,
5.04E-05,4,9,0.986533338,FALSE
,,,,
0.001509973,2,12,0.981866672,FALSE
,,,,
1.96E-05,4,14,0.987333337,FALSE
,,,,
7.91E-05,3,8,0.98766667,FALSE
,,,,
2.89E-05,4,14,0.987000004,FALSE
,,,,
0.009256884,4,14,0.980866673,FALSE
,,,,
7.79E-05,2,9,0.983000005,FALSE
,,,,
7.53E-05,3,10,0.983400005,FALSE
,,,,
6.69E-05,3,8,0.985400005,FALSE
,,,,
0.00019307,4,12,0.985733338,FALSE
,,,,
0.000668903,4,5,0.982866672,FALSE
,,,,
0.005148913,4,13,0.985466671,FALSE
,,,,
1.33E-05,3,8,0.98906667,FALSE
,,,,
3.43E-05,3,8,0.987800004,FALSE
,,,,
1.03E-05,3,8,0.985933338,FALSE
,,,,
1.12E-05,3,8,0.982266672,FALSE
,,,,
3.34E-05,3,8,0.984466671,FALSE
,,,,
3.21E-05,5,8,0.983400005,FALSE
,,,,
1.66E-05,3,7,0.982133339,FALSE
,,,,
1.04E-05,3,13,0.982466672,TRUE
,,,,
0.000380071,3,11,0.986333338,FALSE
,,,,
0.000157801,3,8,0.987600004,FALSE
,,,,
4.54E-05,2,7,0.984133338,FALSE
,,,,
0.000509031,3,8,0.984866672,FALSE
,,,,
2.07E-05,5,11,0.985333338,FALSE
,,,,
0.000117391,2,5,0.983666672,FALSE
,,,,
0.000250392,3,6,0.982133339,FALSE
,,,,
0.000842025,5,13,0.982333339,FALSE
,,,,
1.14E-05,3,10,0.984600005,TRUE
,,,,
2.50E-05,3,9,0.986266671,FALSE
,,,,
4.73E-05,5,6,0.985533338,FALSE
,,,,
1.56E-05,3,8,0.986000004,FALSE
,,,,
0.002920913,2,7,0.978466673,FALSE
,,,,
0.000118918,3,5,0.983266672,FALSE
,,,,
4.04E-05,5,12,0.985466671,FALSE
,,,,
1.44E-05,2,8,0.981466672,FALSE
,,,,
0.0002687,3,11,0.983000005,FALSE
,,,,
6.07E-05,3,14,0.987200004,FALSE
,,,,
2.20E-05,3,9,0.983800005,FALSE
,,,,
0.000403192,5,10,0.985866671,FALSE
,,,,
8.90E-05,2,8,0.984800005,FALSE
,,,,
0.001069838,4,6,0.984400005,FALSE
,,,,
0.000191283,3,14,0.986066671,FALSE
,,,,
0.002256289,4,12,0.984000005,FALSE
,,,,
3.47E-05,3,8,0.986066671,FALSE
,,,,
5.70E-05,3,13,0.985533338,FALSE
,,,,
2.86E-05,2,8,0.984666672,FALSE
,,,,
0.004636632,4,5,0.975333341,FALSE
,,,,
1.23E-05,3,9,0.984933338,FALSE
,,,,
9.64E-05,5,7,0.983533338,FALSE
,,,,
0.000139425,3,10,0.986200004,FALSE
,,,,
1.92E-05,3,8,0.983200005,FALSE
,,,,
0.009696757,4,11,0.97633334,FALSE
,,,,
6.57E-05,3,12,0.985333338,FALSE
,,,,
0.000486702,2,8,0.978466673,FALSE
,,,,
0.000217139,3,14,0.984266672,FALSE
,,,,
2.56E-05,5,13,0.981200006,FALSE
,,,,
8.89E-05,3,8,0.984266672,FALSE
,,,,
3.90E-05,3,8,0.986533338,FALSE
,,,,
7.52E-05,3,8,0.985200005,FALSE
,,,,
5.08E-05,3,8,0.985533338,FALSE
,,,,
1.79E-05,3,6,0.983533338,FALSE
,,,,
1.34E-05,3,8,0.982866672,FALSE
,,,,
0.000148476,3,5,0.986333338,FALSE
,,,,
0.000123214,3,7,0.984200005,FALSE
,,,,
0.00030622,3,8,0.982866672,FALSE
,,,,
2.24E-05,4,9,0.986333338,FALSE
,,,,
0.000188058,3,11,0.982266672,FALSE
,,,,
2.92E-05,2,8,0.984666672,FALSE
,,,,
4.35E-05,5,10,0.985800004,FALSE
,,,,
1.03E-05,3,8,0.981266672,FALSE
,,,,
5.41E-05,3,12,0.984400005,FALSE
,,,,
1.58E-05,3,6,0.983933338,FALSE
,,,,
7.40E-05,4,13,0.986533338,FALSE
,,,,
3.44E-05,2,14,0.982600005,TRUE
,,,,
0.000106296,3,8,0.985000005,FALSE
,,,,
0.000747252,5,5,0.978666673,FALSE
,,,,
2.36E-05,3,7,0.983133339,FALSE
,,,,
3.82E-05,3,8,0.982266672,FALSE
,,,,
2.83E-05,4,10,0.983866672,FALSE
,,,,
1.00E-05,3,11,0.984733338,FALSE
,,,,
0.000525198,5,9,0.984466671,FALSE
,,,,
1.41E-05,2,8,0.980266673,FALSE
,,,,
0.000170384,3,12,0.985466671,FALSE
,,,,
0.001473489,3,14,0.987066671,FALSE
,,,,
0.000317598,3,8,0.984600005,FALSE
,,,,
6.42E-05,4,6,0.983333338,FALSE
,,,,
1.78E-05,2,13,0.983733338,TRUE
,,,,
8.49E-05,3,8,0.986333338,FALSE
,,,,
0.000243253,5,5,0.981200006,FALSE
,,,,
1.23E-05,3,7,0.986000004,FALSE
,,,,
4.83E-05,3,8,0.984666672,FALSE
